"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","old_la_code","new_la_code","la_name","fsm_status","progression_rate","high_tariff_progression_rate","number_of_he_students","number_of_high_tariff_he_students","number_of_students"
200506,"Academic year","National","E92000001","England","","","","","","All Other Pupils",33.5,"x",160266,"x",479043
200506,"Academic year","National","E92000001","England","","","","","","Free School Meals",14.2,"x",11473,"x",80667
200506,"Academic year","National","E92000001","England","","","","","","Total",30.7,"x",171739,"x",559710
200607,"Academic year","National","E92000001","England","","","","","","All Other Pupils",34,"x",167897,"x",493715
200607,"Academic year","National","E92000001","England","","","","","","Free School Meals",15.1,"x",12254,"x",81216
200607,"Academic year","National","E92000001","England","","","","","","Total",31.3,"x",180151,"x",574931
200708,"Academic year","National","E92000001","England","","","","","","All Other Pupils",33.9,"x",173088,"x",509834
200708,"Academic year","National","E92000001","England","","","","","","Free School Meals",15.9,"x",13249,"x",83186
200708,"Academic year","National","E92000001","England","","","","","","Total",31.4,"x",186337,"x",593020
200809,"Academic year","National","E92000001","England","","","","","","All Other Pupils",34.9,"8.2",176471,"41356",504973
200809,"Academic year","National","E92000001","England","","","","","","Free School Meals",17.4,"1.7",14049,"1384",80831
200809,"Academic year","National","E92000001","England","","","","","","Total",32.5,"7.3",190520,"42740",585804
200910,"Academic year","National","E92000001","England","","","","","","All Other Pupils",36.2,"9.4",187028,"48529",516955
200910,"Academic year","National","E92000001","England","","","","","","Free School Meals",18.6,"2",14664,"1537",78802
200910,"Academic year","National","E92000001","England","","","","","","Total",33.9,"8.4",201692,"50066",595757
201011,"Academic year","National","E92000001","England","","","","","","All Other Pupils",37.4,"9.5",196494,"49722",525143
201011,"Academic year","National","E92000001","England","","","","","","Free School Meals",19.8,"2.4",15309,"1889",77477
201011,"Academic year","National","E92000001","England","","","","","","Total",35.1,"8.6",211803,"51611",602620
201112,"Academic year","National","E92000001","England","","","","","","All Other Pupils",38.3,"10.6",200879,"55490",524696
201112,"Academic year","National","E92000001","England","","","","","","Free School Meals",20.3,"2.8",15262,"2104",75299
201112,"Academic year","National","E92000001","England","","","","","","Total",36,"9.6",216141,"57594",599995
201213,"Academic year","National","E92000001","England","","","","","","All Other Pupils",38.8,"9.5",196114,"48212",505257
201213,"Academic year","National","E92000001","England","","","","","","Free School Meals",21.3,"2.4",15927,"1811",74636
201213,"Academic year","National","E92000001","England","","","","","","Total",36.6,"8.6",212041,"50023",579893
201314,"Academic year","National","E92000001","England","","","","","","All Other Pupils",39.1,"10",196091,"50255",501925
201314,"Academic year","National","E92000001","England","","","","","","Free School Meals",22.3,"2.7",17333,"2115",77706
201314,"Academic year","National","E92000001","England","","","","","","Total",36.8,"9",213424,"52370",579631
201415,"Academic year","National","E92000001","England","","","","","","All Other Pupils",41.6,"11.4",203263,"55534",488595
201415,"Academic year","National","E92000001","England","","","","","","Free School Meals",24.1,"3.3",19228,"2618",79621
201415,"Academic year","National","E92000001","England","","","","","","Total",39.2,"10.2",222491,"58152",568216
201516,"Academic year","National","E92000001","England","","","","","","All Other Pupils",43.3,"11.4",208442,"55068",481837
201516,"Academic year","National","E92000001","England","","","","","","Free School Meals",25.7,"3.2",20640,"2546",80436
201516,"Academic year","National","E92000001","England","","","","","","Total",40.7,"10.2",229082,"57614",562273
201617,"Academic year","National","E92000001","England","","","","","","All Other Pupils",43.9,"10.9",213841,"53134",487415
201617,"Academic year","National","E92000001","England","","","","","","Free School Meals",26.2,"3.1",22392,"2653",85527
201617,"Academic year","National","E92000001","England","","","","","","Total",41.2,"9.7",236233,"55787",572942
201718,"Academic year","National","E92000001","England","","","","","","All Other Pupils",44.9,"11.2",214878,"53767",478927
201718,"Academic year","National","E92000001","England","","","","","","Free School Meals",26.3,"3.4",21276,"2760",81033
201718,"Academic year","National","E92000001","England","","","","","","Total",42.2,"10.1",236154,"56527",559960
201819,"Academic year","National","E92000001","England","","","","","","All Other Pupils",45.1,"12",215624,"57373",477908
201819,"Academic year","National","E92000001","England","","","","","","Free School Meals",26.3,"4.1",20247,"3136",76850
201819,"Academic year","National","E92000001","England","","","","","","Total",42.5,"10.9",235871,"60509",554758
201920,"Academic year","National","E92000001","England","","","","","","All Other Pupils",45.7,"12",214118,"56167",468450
201920,"Academic year","National","E92000001","England","","","","","","Free School Meals",26.6,"4",19291,"2869",72572
201920,"Academic year","National","E92000001","England","","","","","","Total",43.1,"10.9",233409,"59036",541022
202021,"Academic year","National","E92000001","England","","","","","","All Other Pupils",46.8,"12.4",215383,"57212",459750
202021,"Academic year","National","E92000001","England","","","","","","Free School Meals",28.1,"4.5",19718,"3128",70052
202021,"Academic year","National","E92000001","England","","","","","","Total",44.4,"11.4",235101,"60340",529802
202122,"Academic year","National","E92000001","England","","","","","","All Other Pupils",49.4,"14.6",225700,"66912",457300
202122,"Academic year","National","E92000001","England","","","","","","Free School Meals",29.2,"5.3",19443,"3564",66690
202122,"Academic year","National","E92000001","England","","","","","","Total",46.8,"13.4",245143,"70476",523990
200506,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",31.2,"x",8091,"x",25972
200506,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",8.4,"x",484,"x",5767
200506,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",27,"x",8575,"x",31739
200607,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",31.7,"x",8377,"x",26396
200607,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",9.2,"x",527,"x",5745
200607,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",27.7,"x",8904,"x",32141
200708,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",32.5,"x",8697,"x",26787
200708,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",9.8,"x",560,"x",5706
200708,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",28.5,"x",9257,"x",32493
200809,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",33.1,"6.9",8463,"1778",25583
200809,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",10.9,"1",599,"55",5511
200809,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",29.1,"5.9",9062,"1833",31094
200910,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",34.1,"7.1",9080,"1880",26650
200910,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",11.5,"0.7",586,"35",5097
200910,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",30.4,"6",9666,"1915",31747
201011,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",35.4,"7.2",9734,"1984",27484
201011,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",12.5,"1",652,"53",5198
201011,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",31.8,"6.2",10386,"2037",32682
201112,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",36.3,"7.5",9962,"2071",27442
201112,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",14,"1.2",666,"56",4768
201112,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",33,"6.6",10628,"2127",32210
201213,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",36.2,"7.1",9435,"1856",26045
201213,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",13.4,"1.4",630,"65",4714
201213,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",32.7,"6.2",10065,"1921",30759
201314,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",36.9,"7.9",9192,"1954",24880
201314,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",14.1,"1.5",670,"70",4761
201314,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",33.3,"6.8",9862,"2024",29641
201415,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",39.8,"8.7",9632,"2107",24183
201415,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",16.2,"1.9",836,"99",5176
201415,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",35.7,"7.5",10468,"2206",29359
201516,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",40.7,"9.2",9534,"2148",23415
201516,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",17.3,"2",903,"105",5226
201516,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",36.4,"7.9",10437,"2253",28641
201617,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",41.6,"9.6",9752,"2255",23441
201617,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",18.2,"2.3",993,"126",5450
201617,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",37.2,"8.2",10745,"2381",28891
201718,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",44,"10.6",9970,"2393",22675
201718,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",19.3,"2.1",985,"109",5113
201718,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",39.4,"9",10955,"2502",27788
201819,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",44.3,"11.2",9972,"2528",22509
201819,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",21.3,"3",974,"135",4571
201819,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",40.4,"9.8",10946,"2663",27080
201920,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",43,"11.3",9342,"2453",21701
201920,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",20.8,"2.8",917,"125",4410
201920,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",39.3,"9.9",10259,"2578",26111
202021,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",44.3,"11.8",9240,"2450",20837
202021,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",21.8,"3.3",954,"145",4379
202021,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",40.4,"10.3",10194,"2595",25216
202122,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",46.7,"13.9",9634,"2877",20650
202122,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",21.9,"3.5",916,"148",4174
202122,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",42.5,"12.2",10550,"3025",24824
200506,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",34,"x",23169,"x",68197
200506,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",12.5,"x",1984,"x",15902
200506,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",29.9,"x",25153,"x",84099
200607,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",34.4,"x",23973,"x",69625
200607,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",12.6,"x",2021,"x",16001
200607,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",30.4,"x",25994,"x",85626
200708,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",34.7,"x",25046,"x",72199
200708,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",13.6,"x",2193,"x",16121
200708,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",30.8,"x",27239,"x",88320
200809,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",35.2,"8.3",25115,"5895",71265
200809,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",14.4,"1.5",2245,"238",15582
200809,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",31.5,"7.1",27360,"6133",86847
200910,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",36.7,"10.3",26951,"7534",73342
200910,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",15.7,"2.1",2358,"317",15044
200910,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",33.2,"8.9",29309,"7851",88386
201011,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",38.3,"10.2",28744,"7622",74964
201011,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",16.3,"2.3",2399,"343",14703
201011,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",34.7,"8.9",31143,"7965",89667
201112,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",39.9,"10.6",29544,"7846",73968
201112,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",17.5,"2.2",2482,"306",14210
201112,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",36.3,"9.2",32026,"8152",88178
201213,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",40.8,"9.9",28506,"6949",69871
201213,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",18.4,"2.2",2537,"302",13765
201213,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",37.1,"8.7",31043,"7251",83636
201314,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",41.6,"10.9",28459,"7440",68415
201314,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",19.9,"2.7",2745,"374",13799
201314,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",38,"9.5",31204,"7814",82214
