"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","old_la_code","new_la_code","la_name","progression_rate_fsm","progression_rate_non_fsm","progression_rate","high_tariff_progression_rate_fsm","high_tariff_progression_rate_non_fsm","high_tariff_progression_rate","progression_rate_gap","high_tariff_progression_rate_gap"
200506,"Academic year","National","E92000001","England","","","","","","14.2","33.5","30.7","x","x","x","19.2","x"
200607,"Academic year","National","E92000001","England","","","","","","15.1","34","31.3","x","x","x","18.9","x"
200708,"Academic year","National","E92000001","England","","","","","","15.9","33.9","31.4","x","x","x","18","x"
200809,"Academic year","National","E92000001","England","","","","","","17.4","34.9","32.5","1.7","8.2","7.3","17.6","6.5"
200910,"Academic year","National","E92000001","England","","","","","","18.6","36.2","33.9","2","9.4","8.4","17.6","7.4"
201011,"Academic year","National","E92000001","England","","","","","","19.8","37.4","35.1","2.4","9.5","8.6","17.7","7"
201112,"Academic year","National","E92000001","England","","","","","","20.3","38.3","36","2.8","10.6","9.6","18","7.8"
201213,"Academic year","National","E92000001","England","","","","","","21.3","38.8","36.6","2.4","9.5","8.6","17.5","7.1"
201314,"Academic year","National","E92000001","England","","","","","","22.3","39.1","36.8","2.7","10","9","16.8","7.3"
201415,"Academic year","National","E92000001","England","","","","","","24.1","41.6","39.2","3.3","11.4","10.2","17.5","8.1"
201516,"Academic year","National","E92000001","England","","","","","","25.7","43.3","40.7","3.2","11.4","10.2","17.6","8.3"
201617,"Academic year","National","E92000001","England","","","","","","26.2","43.9","41.2","3.1","10.9","9.7","17.7","7.8"
201718,"Academic year","National","E92000001","England","","","","","","26.3","44.9","42.2","3.4","11.2","10.1","18.6","7.8"
201819,"Academic year","National","E92000001","England","","","","","","26.3","45.1","42.5","4.1","12","10.9","18.8","7.9"
201920,"Academic year","National","E92000001","England","","","","","","26.6","45.7","43.1","4","12","10.9","19.1","8"
202021,"Academic year","National","E92000001","England","","","","","","28.1","46.8","44.4","4.5","12.4","11.4","18.7","8"
202122,"Academic year","National","E92000001","England","","","","","","29.2","49.4","46.8","5.3","14.6","13.4","20.2","9.3"
200506,"Academic year","Regional","E92000001","England","E12000001","North East","","","","8.4","31.2","27","x","x","x","22.8","x"
200607,"Academic year","Regional","E92000001","England","E12000001","North East","","","","9.2","31.7","27.7","x","x","x","22.6","x"
200708,"Academic year","Regional","E92000001","England","E12000001","North East","","","","9.8","32.5","28.5","x","x","x","22.7","x"
200809,"Academic year","Regional","E92000001","England","E12000001","North East","","","","10.9","33.1","29.1","1","6.9","5.9","22.2","6"
200910,"Academic year","Regional","E92000001","England","E12000001","North East","","","","11.5","34.1","30.4","0.7","7.1","6","22.6","6.4"
201011,"Academic year","Regional","E92000001","England","E12000001","North East","","","","12.5","35.4","31.8","1","7.2","6.2","22.9","6.2"
201112,"Academic year","Regional","E92000001","England","E12000001","North East","","","","14","36.3","33","1.2","7.5","6.6","22.3","6.4"
201213,"Academic year","Regional","E92000001","England","E12000001","North East","","","","13.4","36.2","32.7","1.4","7.1","6.2","22.9","5.7"
201314,"Academic year","Regional","E92000001","England","E12000001","North East","","","","14.1","36.9","33.3","1.5","7.9","6.8","22.9","6.4"
201415,"Academic year","Regional","E92000001","England","E12000001","North East","","","","16.2","39.8","35.7","1.9","8.7","7.5","23.7","6.8"
201516,"Academic year","Regional","E92000001","England","E12000001","North East","","","","17.3","40.7","36.4","2","9.2","7.9","23.4","7.2"
201617,"Academic year","Regional","E92000001","England","E12000001","North East","","","","18.2","41.6","37.2","2.3","9.6","8.2","23.4","7.3"
201718,"Academic year","Regional","E92000001","England","E12000001","North East","","","","19.3","44","39.4","2.1","10.6","9","24.7","8.4"
201819,"Academic year","Regional","E92000001","England","E12000001","North East","","","","21.3","44.3","40.4","3","11.2","9.8","23","8.3"
201920,"Academic year","Regional","E92000001","England","E12000001","North East","","","","20.8","43","39.3","2.8","11.3","9.9","22.3","8.5"
202021,"Academic year","Regional","E92000001","England","E12000001","North East","","","","21.8","44.3","40.4","3.3","11.8","10.3","22.6","8.4"
202122,"Academic year","Regional","E92000001","England","E12000001","North East","","","","21.9","46.7","42.5","3.5","13.9","12.2","24.7","10.4"
200506,"Academic year","Regional","E92000001","England","E12000002","North West","","","","12.5","34","29.9","x","x","x","21.5","x"
200607,"Academic year","Regional","E92000001","England","E12000002","North West","","","","12.6","34.4","30.4","x","x","x","21.8","x"
