"time_period","time_identifier","geographic_level","country_code","country_name","gender","fsm_status","ethnicity_major","ethnicity_minor","progression_rate","high_tariff_progression_rate","number_of_he_students","number_of_high_tariff_he_students","number_of_students"
200910,"Academic year","National","E92000001","England","Female","Free School Meals","White","White - British",11.7,1.3,3022,339,25794
200910,"Academic year","National","E92000001","England","Female","Free School Meals","White","White - Irish",14.7,2,29,4,197
200910,"Academic year","National","E92000001","England","Female","Free School Meals","White","Traveller of Irish Heritage",0,0,0,0,33
200910,"Academic year","National","E92000001","England","Female","Free School Meals","White","Gypsy / Roma",1.4,0,1,0,71
200910,"Academic year","National","E92000001","England","Female","Free School Meals","White","Any Other White Background",34.7,2.9,337,28,970
200910,"Academic year","National","E92000001","England","Female","Free School Meals","White","Total",12.5,1.4,3389,371,27065
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Mixed","White and Black Caribbean",17.6,1.2,115,8,654
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Mixed","White and Black African",38.3,2.5,62,4,162
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Mixed","White and Asian",24.9,6.1,49,12,197
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Mixed","Any Other Mixed Background",23.5,3.8,111,18,473
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Mixed","Total",22.7,2.8,337,42,1486
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Asian","Indian",54.4,9.1,413,69,759
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Asian","Pakistani",42.9,3.9,1014,92,2366
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Asian","Bangladeshi",46.6,3.9,767,65,1646
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Asian","Any Other Asian Background",53.2,6.1,201,23,378
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Asian","Total",46.5,4.8,2395,249,5149
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Black","Black Caribbean",32.5,1.4,345,15,1062
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Black","Black - African",49.6,3.7,988,73,1990
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Black","Any Other Black Background",36.1,1.5,121,5,335
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Black","Total",42.9,2.7,1454,93,3387
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Chinese","Chinese",73.1,22.4,98,30,134
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Any Other Ethnic Group","Any Other Ethnic Group",46,5.2,366,41,796
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Unknown","Unknown",16.1,1.1,141,10,878
200910,"Academic year","National","E92000001","England","Female","Free School Meals","Total","Total",21,2.1,8180,836,38895
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","White","White - British",37.9,9.8,80519,20928,212573
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","White","White - Irish",49.9,17.4,470,164,942
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","White","Traveller of Irish Heritage",22.2,2.8,8,1,36
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","White","Gypsy / Roma",5.1,0,4,0,78
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","White","Any Other White Background",49.4,15.1,2485,758,5029
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","White","Total",38.2,10,83486,21851,218658
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","Mixed","White and Black Caribbean",36.4,5.8,725,116,1994
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","Mixed","White and Black African",52.3,11.4,253,55,484
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","Mixed","White and Asian",58.9,20.5,620,216,1053
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","Mixed","Any Other Mixed Background",49,13.6,919,256,1876
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","Mixed","Total",46.6,11.9,2517,643,5407
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","Asian","Indian",74.8,16.8,4309,965,5761
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","Asian","Pakistani",52.3,8,2239,342,4283
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","Asian","Bangladeshi",54.5,7.3,732,98,1343
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","Asian","Any Other Asian Background",66.5,17.4,1067,280,1605
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","Asian","Total",64.2,13,8347,1685,12992
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","Black","Black Caribbean",45.2,4.2,1509,139,3342
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","Black","Black - African",65.7,9.8,2211,329,3363
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","Black","Any Other Black Background",48.3,6.7,450,62,932
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","Black","Total",54.6,6.9,4170,530,7637
200910,"Academic year","National","E92000001","England","Female","All Other Pupils","Chinese","Chinese",79.2,32.4,754,308,952
