"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","gender","fsm_status","ethnicity_major","progression_rate","high_tariff_progression_rate","number_of_he_students","number_of_high_tariff_he_students","number_of_students"
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","Free School Meals","White",11.7,0.6,272,15,2331
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","Free School Meals","Mixed",15.8,0,3,0,19
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","Free School Meals","Unknown",12.5,0,10,0,80
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","Free School Meals","Asian",42.2,3.1,27,2,64
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","Free School Meals","Black",27.8,0,5,0,18
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","Free School Meals","Chinese",100,0,2,0,2
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","Free School Meals","Any Other Ethnic Group",35.7,0,5,0,14
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","Free School Meals","Total",12.8,0.7,324,17,2528
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","All Other Pupils","White",37.7,7.6,4644,935,12325
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","All Other Pupils","Mixed",54.3,17.3,44,14,81
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","All Other Pupils","Unknown",33.8,4.6,140,19,414
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","All Other Pupils","Asian",50.3,8,94,15,187
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","All Other Pupils","Black",47.8,13,11,3,23
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","All Other Pupils","Chinese",82.4,17.6,28,6,34
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","All Other Pupils","Any Other Ethnic Group",57.1,21.4,16,6,28
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","All Other Pupils","Total",38,7.6,4977,998,13092
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","Total","White",33.5,6.5,4916,950,14656
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","Total","Mixed",47,14,47,14,100
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","Total","Unknown",30.4,3.8,150,19,494
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","Total","Asian",48.2,6.8,121,17,251
200910,"Academic year","Regional","E92000001","England","E12000001","North East","Female","Total","Black",39,7.3,16,3,41
