"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","old_la_code","new_la_code","la_name","gender","progression_rate","high_tariff_progression_rate","number_of_he_students","number_of_high_tariff_he_students","number_of_students"
200910,"Academic year","National","E92000001","England","","","","","","Female",37.8,"9.1",110611,"26637",292506
200910,"Academic year","National","E92000001","England","","","","","","Male",30,"7.7",91081,"23429",303251
200910,"Academic year","National","E92000001","England","","","","","","Total",33.9,"8.4",201692,"50066",595757
201011,"Academic year","National","E92000001","England","","","","","","Female",39,"9.3",115674,"27569",296336
201011,"Academic year","National","E92000001","England","","","","","","Male",31.4,"7.8",96129,"24042",306284
201011,"Academic year","National","E92000001","England","","","","","","Total",35.1,"8.6",211803,"51611",602620
201112,"Academic year","National","E92000001","England","","","","","","Female",39.9,"10.4",117219,"30700",294043
201112,"Academic year","National","E92000001","England","","","","","","Male",32.3,"8.8",98922,"26894",305952
201112,"Academic year","National","E92000001","England","","","","","","Total",36,"9.6",216141,"57594",599995
201213,"Academic year","National","E92000001","England","","","","","","Female",40.5,"9.3",115330,"26580",284551
201213,"Academic year","National","E92000001","England","","","","","","Male",32.7,"7.9",96711,"23443",295342
201213,"Academic year","National","E92000001","England","","","","","","Total",36.6,"8.6",212041,"50023",579893
201314,"Academic year","National","E92000001","England","","","","","","Female",40.9,"9.7",116174,"27685",284086
201314,"Academic year","National","E92000001","England","","","","","","Male",32.9,"8.4",97250,"24685",295545
201314,"Academic year","National","E92000001","England","","","","","","Total",36.8,"9",213424,"52370",579631
201415,"Academic year","National","E92000001","England","","","","","","Female",43.5,"11.1",121177,"30935",278641
201415,"Academic year","National","E92000001","England","","","","","","Male",35,"9.4",101314,"27217",289575
201415,"Academic year","National","E92000001","England","","","","","","Total",39.2,"10.2",222491,"58152",568216
201516,"Academic year","National","E92000001","England","","","","","","Female",45.2,"11.2",124471,"30847",275088
201516,"Academic year","National","E92000001","England","","","","","","Male",36.4,"9.3",104611,"26767",287185
201516,"Academic year","National","E92000001","England","","","","","","Total",40.7,"10.2",229082,"57614",562273
201617,"Academic year","National","E92000001","England","","","","","","Female",46.2,"10.7",129964,"30191",281063
201617,"Academic year","National","E92000001","England","","","","","","Male",36.4,"8.8",106269,"25596",291879
201617,"Academic year","National","E92000001","England","","","","","","Total",41.2,"9.7",236233,"55787",572942
201718,"Academic year","National","E92000001","England","","","","","","Female",47.4,"11.2",129998,"30859",274408
201718,"Academic year","National","E92000001","England","","","","","","Male",37.2,"9",106156,"25668",285552
201718,"Academic year","National","E92000001","England","","","","","","Total",42.2,"10.1",236154,"56527",559960
201819,"Academic year","National","E92000001","England","","","","","","Female",48,"12",130253,"32676",271577
201819,"Academic year","National","E92000001","England","","","","","","Male",37.3,"9.8",105618,"27833",283181
201819,"Academic year","National","E92000001","England","","","","","","Total",42.5,"10.9",235871,"60509",554758
201920,"Academic year","National","E92000001","England","","","","","","Female",48.9,"12.2",129831,"32305",265283
201920,"Academic year","National","E92000001","England","","","","","","Male",37.6,"9.7",103578,"26731",275739
201920,"Academic year","National","E92000001","England","","","","","","Total",43.1,"10.9",233409,"59036",541022
202021,"Academic year","National","E92000001","England","","","","","","Female",50.6,"12.7",131757,"33197",260374
202021,"Academic year","National","E92000001","England","","","","","","Male",38.4,"10.1",103344,"27143",269428
202021,"Academic year","National","E92000001","England","","","","","","Total",44.4,"11.4",235101,"60340",529802
202122,"Academic year","National","E92000001","England","","","","","","Female",53.6,"15.3",137766,"39329",256901
202122,"Academic year","National","E92000001","England","","","","","","Male",40.2,"11.7",107377,"31147",267089
202122,"Academic year","National","E92000001","England","","","","","","Total",46.8,"13.4",245143,"70476",523990
200910,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Female",33.9,"6.5",5301,"1015",15620
200910,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Male",27.1,"5.6",4365,"900",16127
200910,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",30.4,"6",9666,"1915",31747
201011,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Female",35.9,"6.7",5736,"1076",15976
201011,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Male",27.8,"5.8",4650,"961",16706
201011,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",31.8,"6.2",10386,"2037",32682
201112,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Female",36.4,"7",5722,"1107",15717
201112,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Male",29.7,"6.2",4906,"1020",16493
201112,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",33,"6.6",10628,"2127",32210
201213,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Female",36.5,"6.6",5516,"995",15106
201213,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Male",29.1,"5.9",4549,"926",15653
201213,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",32.7,"6.2",10065,"1921",30759
201314,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Female",37.2,"7.4",5398,"1074",14514
201314,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Male",29.5,"6.3",4464,"950",15127
201314,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",33.3,"6.8",9862,"2024",29641
201415,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Female",40.4,"8.3",5790,"1191",14320
201415,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Male",31.1,"6.7",4678,"1015",15039
201415,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",35.7,"7.5",10468,"2206",29359
