"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","old_la_code","new_la_code","la_name","sen_status","progression_rate","high_tariff_progression_rate","number_of_he_students","number_of_high_tariff_he_students","number_of_students"
200910,"Academic year","National","E92000001","England","","","","","","Total",33.9,"8.4",201692,"50066",595757
200910,"Academic year","National","E92000001","England","","","","","","No Identified SEN",39.2,"10",190839,"48802",486450
200910,"Academic year","National","E92000001","England","","","","","","All SEN",9.9,"1.2",10853,"1264",109307
201011,"Academic year","National","E92000001","England","","","","","","Total",35.1,"8.6",211803,"51611",602620
201011,"Academic year","National","E92000001","England","","","","","","No Identified SEN",41,"10.3",198677,"50026",484923
201011,"Academic year","National","E92000001","England","","","","","","All SEN",11.2,"1.3",13126,"1585",117697
201112,"Academic year","National","E92000001","England","","","","","","Total",36,"9.6",216141,"57594",599995
201112,"Academic year","National","E92000001","England","","","","","","No Identified SEN",42.5,"11.8",199777,"55270",469975
201112,"Academic year","National","E92000001","England","","","","","","All SEN",12.6,"1.8",16364,"2324",130020
201213,"Academic year","National","E92000001","England","","","","","","Total",36.6,"8.6",212041,"50023",579893
201213,"Academic year","National","E92000001","England","","","","","","No Identified SEN",43.6,"10.8",192592,"47554",441909
201213,"Academic year","National","E92000001","England","","","","","","All SEN",14.1,"1.8",19449,"2469",137984
201314,"Academic year","National","E92000001","England","","","","","","Total",36.8,"9",213424,"52370",579631
201314,"Academic year","National","E92000001","England","","","","","","No Identified SEN",44,"11.4",191699,"49631",435743
201314,"Academic year","National","E92000001","England","","","","","","All SEN",15.1,"1.9",21725,"2739",143888
201415,"Academic year","National","E92000001","England","","","","","","Total",39.2,"10.2",222491,"58152",568216
201415,"Academic year","National","E92000001","England","","","","","","No Identified SEN",46.4,"12.8",200123,"55291",431411
201415,"Academic year","National","E92000001","England","","","","","","All SEN",16.4,"2.1",22368,"2861",136805
201516,"Academic year","National","E92000001","England","","","","","","Total",40.7,"10.2",229082,"57614",562273
201516,"Academic year","National","E92000001","England","","","","","","No Identified SEN",47.4,"12.5",206952,"54724",436461
201516,"Academic year","National","E92000001","England","","","","","","All SEN",17.6,"2.3",22130,"2890",125812
201617,"Academic year","National","E92000001","England","","","","","","Total",41.2,"9.7",236233,"55787",572942
201617,"Academic year","National","E92000001","England","","","","","","No Identified SEN",47.5,"11.7",215140,"53136",453266
201617,"Academic year","National","E92000001","England","","","","","","All SEN",17.6,"2.2",21093,"2651",119676
201718,"Academic year","National","E92000001","England","","","","","","Total",42.2,"10.1",236154,"56527",559960
