"time_period","time_identifier","geographic_level","country_code","country_name","provider_ukprn","provider_name","tariff_grouping","mean_tariff"
200809,"Academic year","Provider","K02000001","United Kingdom",10007856,"Aberystwyth University","Medium","249.67"
200809,"Academic year","Provider","K02000001","United Kingdom",10000291,"Anglia Ruskin University","Low","214.15"
200809,"Academic year","Provider","K02000001","United Kingdom",10007759,"Aston University","Medium","292.78"
200809,"Academic year","Provider","K02000001","United Kingdom",10007857,"Bangor University","Medium","241.53"
200809,"Academic year","Provider","K02000001","United Kingdom",10000571,"Bath Spa University","Medium","241.29"
200809,"Academic year","Provider","K02000001","United Kingdom",10007140,"Birmingham City University","Low","214.85"
200809,"Academic year","Provider","K02000001","United Kingdom",10007811,"Bishop Grosseteste University","Low","217.35"
200809,"Academic year","Provider","K02000001","United Kingdom",10000824,"Bournemouth University","Medium","248.59"
200809,"Academic year","Provider","K02000001","United Kingdom",10000961,"Brunel University London","Medium","260.1"
200809,"Academic year","Provider","K02000001","United Kingdom",10000975,"Buckinghamshire New University","c","c"
200809,"Academic year","Provider","K02000001","United Kingdom",10001143,"Canterbury Christ Church University","Low","212.45"
200809,"Academic year","Provider","K02000001","United Kingdom",10007854,"Cardiff Metropolitan University","Low","226.52"
200809,"Academic year","Provider","K02000001","United Kingdom",10007814,"Cardiff University","High","318.42"
200809,"Academic year","Provider","K02000001","United Kingdom",10001478,"City, University of London","Medium","275.98"
200809,"Academic year","Provider","K02000001","United Kingdom",10007761,"Courtauld Institute of Art","High","348.25"
200809,"Academic year","Provider","K02000001","United Kingdom",10001726,"Coventry University","Low","228.59"
200809,"Academic year","Provider","K02000001","United Kingdom",10001883,"De Montfort University","Low","195.83"
200809,"Academic year","Provider","K02000001","United Kingdom",10007823,"Edge Hill University","Low","212.04"
200809,"Academic year","Provider","K02000001","United Kingdom",10007824,"Edinburgh College of Art","Medium","299.07"
200809,"Academic year","Provider","K02000001","United Kingdom",10007772,"Edinburgh Napier University","Medium","240.46"
200809,"Academic year","Provider","K02000001","United Kingdom",10008640,"Falmouth University","Medium","248.05"
200809,"Academic year","Provider","K02000001","United Kingdom",10002681,"Glasgow School of Art","Medium","296.21"
200809,"Academic year","Provider","K02000001","United Kingdom",10007833,"Glynd?r University","Low","203.99"
200809,"Academic year","Provider","K02000001","United Kingdom",10002718,"Goldsmiths College","Medium","265.19"
200809,"Academic year","Provider","K02000001","United Kingdom",10040812,"Harper Adams University","Medium","231.57"
200809,"Academic year","Provider","K02000001","United Kingdom",10007764,"Heriot-Watt University","Medium","279.15"
200809,"Academic year","Provider","K02000001","United Kingdom",10007765,"Heythrop College","Medium","284.68"
200809,"Academic year","Provider","K02000001","United Kingdom",10003270,"Imperial College of Science, Technology and Medicine","High","355.16"
200809,"Academic year","Provider","K02000001","United Kingdom",10007767,"Keele University","Medium","250.47"
200809,"Academic year","Provider","K02000001","United Kingdom",10003645,"King's College London","High","324.54"
200809,"Academic year","Provider","K02000001","United Kingdom",10003678,"Kingston University","Low","203.6"
200809,"Academic year","Provider","K02000001","United Kingdom",10003861,"Leeds Beckett University","Low","222.36"
200809,"Academic year","Provider","K02000001","United Kingdom",10003856,"Leeds College of Music","Medium","255.5"
200809,"Academic year","Provider","K02000001","United Kingdom",10003863,"Leeds Trinity University","Low","211.69"
200809,"Academic year","Provider","K02000001","United Kingdom",10003956,"Liverpool Hope University","Medium","236.3"
200809,"Academic year","Provider","K02000001","United Kingdom",10003957,"Liverpool John Moores University","Low","212.92"
200809,"Academic year","Provider","K02000001","United Kingdom",10004048,"London Metropolitan University","Low","183.21"
200809,"Academic year","Provider","K02000001","United Kingdom",10004063,"London School of Economics and Political Science","High","353.42"
200809,"Academic year","Provider","K02000001","United Kingdom",10004078,"London South Bank University","Low","171.49"
200809,"Academic year","Provider","K02000001","United Kingdom",10004113,"Loughborough University","Medium","293.85"
200809,"Academic year","Provider","K02000001","United Kingdom",10004351,"Middlesex University","c","c"
200809,"Academic year","Provider","K02000001","United Kingdom",10007799,"Newcastle University","High","317.08"
200809,"Academic year","Provider","K02000001","United Kingdom",10007832,"Newman University","Low","211.77"
200809,"Academic year","Provider","K02000001","United Kingdom",10004775,"Norwich University of the Arts","Medium","238.42"
200809,"Academic year","Provider","K02000001","United Kingdom",10004930,"Oxford Brookes University","Medium","262.57"
200809,"Academic year","Provider","K02000001","United Kingdom",10005337,"Queen Margaret University, Edinburgh","Medium","258.14"
200809,"Academic year","Provider","K02000001","United Kingdom",10007775,"Queen Mary University of London","Medium","285.58"
200809,"Academic year","Provider","K02000001","United Kingdom",10005343,"Queen's University Belfast","High","317.49"
200809,"Academic year","Provider","K02000001","United Kingdom",10005389,"Ravensbourne University London","c","c"
200809,"Academic year","Provider","K02000001","United Kingdom",10007776,"Roehampton University","Low","216.05"
200809,"Academic year","Provider","K02000001","United Kingdom",10005523,"Rose Bruford College of Theatre and Performance","Low","229.1"
200809,"Academic year","Provider","K02000001","United Kingdom",10005545,"Royal Agricultural University","Low","222.19"
200809,"Academic year","Provider","K02000001","United Kingdom",10007778,"Royal College of Music","Medium","291.81"
200809,"Academic year","Provider","K02000001","United Kingdom",10005561,"Royal Conservatoire of Scotland","c","c"
200809,"Academic year","Provider","K02000001","United Kingdom",10005553,"Royal Holloway and Bedford New College","Medium","298.9"
200809,"Academic year","Provider","K02000001","United Kingdom",10007837,"Royal Northern College of Music","Medium","280.62"
200809,"Academic year","Provider","K02000001","United Kingdom",10005790,"Sheffield Hallam University","Low","228.99"
200809,"Academic year","Provider","K02000001","United Kingdom",10007780,"SOAS University of London","High","315.97"
200809,"Academic year","Provider","K02000001","United Kingdom",10006022,"Solent University","Low","208.84"
200809,"Academic year","Provider","K02000001","United Kingdom",10005700,"SRUC","Low","184.77"
200809,"Academic year","Provider","K02000001","United Kingdom",10007782,"St George's, University of London","Medium","295.32"
200809,"Academic year","Provider","K02000001","United Kingdom",10008026,"St Mary's University College","Medium","287.54"
200809,"Academic year","Provider","K02000001","United Kingdom",10007843,"St Mary's University, Twickenham","Low","214.56"
200809,"Academic year","Provider","K02000001","United Kingdom",10006299,"Staffordshire University","Low","204.02"
200809,"Academic year","Provider","K02000001","United Kingdom",10008010,"Stranmillis University College","Medium","288.52"
200809,"Academic year","Provider","K02000001","United Kingdom",10007846,"Swansea Metropolitan University","Low","194.65"
200809,"Academic year","Provider","K02000001","United Kingdom",10007855,"Swansea University","Medium","261.86"
200809,"Academic year","Provider","K02000001","United Kingdom",10007161,"Teesside University","Low","212.22"
200809,"Academic year","Provider","K02000001","United Kingdom",10000385,"The Arts University Bournemouth","Medium","249.52"
200809,"Academic year","Provider","K02000001","United Kingdom",10003945,"The Liverpool Institute for Performing Arts","Medium","254.75"
200809,"Academic year","Provider","K02000001","United Kingdom",10004180,"The Manchester Metropolitan University","Low","220.01"
200809,"Academic year","Provider","K02000001","United Kingdom",10004797,"The Nottingham Trent University","Medium","233.92"
200809,"Academic year","Provider","K02000001","United Kingdom",10005500,"The Robert Gordon University","Medium","265.31"
200809,"Academic year","Provider","K02000001","United Kingdom",10007816,"The Royal Central School of Speech and Drama","Medium","264.09"
200809,"Academic year","Provider","K02000001","United Kingdom",10007779,"The Royal Veterinary College","High","308.51"
200809,"Academic year","Provider","K02000001","United Kingdom",10007781,"The School of Pharmacy","High","319.67"
200809,"Academic year","Provider","K02000001","United Kingdom",10007783,"The University of Aberdeen","Medium","287.01"
200809,"Academic year","Provider","K02000001","United Kingdom",10007850,"The University of Bath","High","334.84"
200809,"Academic year","Provider","K02000001","United Kingdom",10006840,"The University of Birmingham","High","318.11"
200809,"Academic year","Provider","K02000001","United Kingdom",10006841,"The University of Bolton","c","c"
200809,"Academic year","Provider","K02000001","United Kingdom",10007785,"The University of Bradford","Low","223.17"
200809,"Academic year","Provider","K02000001","United Kingdom",10000886,"The University of Brighton","Medium","237.77"
200809,"Academic year","Provider","K02000001","United Kingdom",10007786,"The University of Bristol","High","344.05"
200809,"Academic year","Provider","K02000001","United Kingdom",10007787,"The University of Buckingham","c","c"
200809,"Academic year","Provider","K02000001","United Kingdom",10007788,"The University of Cambridge","High","357.87"
200809,"Academic year","Provider","K02000001","United Kingdom",10007141,"The University of Central Lancashire","Low","221.12"
200809,"Academic year","Provider","K02000001","United Kingdom",10007137,"The University of Chichester","Medium","242.25"
200809,"Academic year","Provider","K02000001","United Kingdom",10007852,"The University of Dundee","Medium","280.97"
200809,"Academic year","Provider","K02000001","United Kingdom",10007789,"The University of East Anglia","Medium","287.5"
200809,"Academic year","Provider","K02000001","United Kingdom",10007144,"The University of East London","Low","164.06"
200809,"Academic year","Provider","K02000001","United Kingdom",10007790,"The University of Edinburgh","High","329.44"
200809,"Academic year","Provider","K02000001","United Kingdom",10007791,"The University of Essex","Medium","251.24"
200809,"Academic year","Provider","K02000001","United Kingdom",10007792,"The University of Exeter","High","324.48"
200809,"Academic year","Provider","K02000001","United Kingdom",10007794,"The University of Glasgow","High","313.23"
200809,"Academic year","Provider","K02000001","United Kingdom",10007146,"The University of Greenwich","Low","190.96"
200809,"Academic year","Provider","K02000001","United Kingdom",10007148,"The University of Huddersfield","Low","215.92"
200809,"Academic year","Provider","K02000001","United Kingdom",10007149,"The University of Hull","Medium","237.83"
200809,"Academic year","Provider","K02000001","United Kingdom",10007150,"The University of Kent","Medium","262.49"
200809,"Academic year","Provider","K02000001","United Kingdom",10007768,"The University of Lancaster","High","305.93"
200809,"Academic year","Provider","K02000001","United Kingdom",10007795,"The University of Leeds","High","315.77"
200809,"Academic year","Provider","K02000001","United Kingdom",10007796,"The University of Leicester","Medium","293.29"
200809,"Academic year","Provider","K02000001","United Kingdom",10007151,"The University of Lincoln","Medium","231.85"
200809,"Academic year","Provider","K02000001","United Kingdom",10006842,"The University of Liverpool","Medium","305.92"
200809,"Academic year","Provider","K02000001","United Kingdom",10007798,"The University of Manchester","High","322.05"
200809,"Academic year","Provider","K02000001","United Kingdom",10007138,"The University of Northampton","Low","201.78"
200809,"Academic year","Provider","K02000001","United Kingdom",10007774,"The University of Oxford","High","358.21"
200809,"Academic year","Provider","K02000001","United Kingdom",10007155,"The University of Portsmouth","Medium","234.73"
200809,"Academic year","Provider","K02000001","United Kingdom",10007802,"The University of Reading","Medium","290.41"
200809,"Academic year","Provider","K02000001","United Kingdom",10007156,"The University of Salford","Low","221.87"
200809,"Academic year","Provider","K02000001","United Kingdom",10007157,"The University of Sheffield","High","319.79"
200809,"Academic year","Provider","K02000001","United Kingdom",10007158,"The University of Southampton","High","315.95"
200809,"Academic year","Provider","K02000001","United Kingdom",10007803,"The University of St Andrews","High","339.81"
200809,"Academic year","Provider","K02000001","United Kingdom",10007804,"The University of Stirling","Medium","262.69"
200809,"Academic year","Provider","K02000001","United Kingdom",10007805,"The University of Strathclyde","High","307.66"
200809,"Academic year","Provider","K02000001","United Kingdom",10007159,"The University of Sunderland","Low","196.43"
200809,"Academic year","Provider","K02000001","United Kingdom",10007160,"The University of Surrey","Medium","295.85"
200809,"Academic year","Provider","K02000001","United Kingdom",10007806,"The University of Sussex","Medium","305.42"
200809,"Academic year","Provider","K02000001","United Kingdom",10007800,"The University of the West of Scotland","c","c"
200809,"Academic year","Provider","K02000001","United Kingdom",10007853,"The University of Wales, Newport","Low","216.45"
200809,"Academic year","Provider","K02000001","United Kingdom",10007163,"The University of Warwick","High","339.96"
200809,"Academic year","Provider","K02000001","United Kingdom",10006566,"The University of West London","c","c"
200809,"Academic year","Provider","K02000001","United Kingdom",10007165,"The University of Westminster","Low","222.44"
200809,"Academic year","Provider","K02000001","United Kingdom",10003614,"The University of Winchester","Low","231.24"
200809,"Academic year","Provider","K02000001","United Kingdom",10007166,"The University of Wolverhampton","Low","177.74"
200809,"Academic year","Provider","K02000001","United Kingdom",10007167,"The University of York","High","320.78"
200809,"Academic year","Provider","K02000001","United Kingdom",10008017,"Trinity Laban Conservatoire of Music and Dance","c","c"
200809,"Academic year","Provider","K02000001","United Kingdom",10007048,"Trinity University College","Medium","233.09"
200809,"Academic year","Provider","K02000001","United Kingdom",10007807,"Ulster University","Medium","256.56"
200809,"Academic year","Provider","K02000001","United Kingdom",10000712,"University College Birmingham","c","c"
200809,"Academic year","Provider","K02000001","United Kingdom",10007784,"University College London","High","343.21"
200809,"Academic year","Provider","K02000001","United Kingdom",10006427,"University for the Creative Arts","Low","230.65"
200809,"Academic year","Provider","K02000001","United Kingdom",10007849,"University of Abertay Dundee","Low","225.14"
200809,"Academic year","Provider","K02000001","United Kingdom",10007152,"University of Bedfordshire","Low","172.56"
200809,"Academic year","Provider","K02000001","United Kingdom",10007848,"University of Chester","Low","226.6"
200809,"Academic year","Provider","K02000001","United Kingdom",10007842,"University of Cumbria","Low","225.36"
200809,"Academic year","Provider","K02000001","United Kingdom",10007851,"University of Derby","Low","202.67"
200809,"Academic year","Provider","K02000001","United Kingdom",10007143,"University of Durham","High","342.47"
200809,"Academic year","Provider","K02000001","United Kingdom",10007145,"University of Gloucestershire","Low","225.1"
200809,"Academic year","Provider","K02000001","United Kingdom",10007147,"University of Hertfordshire","Low","212.1"
200809,"Academic year","Provider","K02000001","United Kingdom",10001282,"University of Northumbria at Newcastle","Medium","248.5"
200809,"Academic year","Provider","K02000001","United Kingdom",10007154,"University of Nottingham","High","322.06"
200809,"Academic year","Provider","K02000001","United Kingdom",10007801,"University of Plymouth","Medium","231.4"
200809,"Academic year","Provider","K02000001","United Kingdom",10007793,"University of South Wales","Low","230.62"
200809,"Academic year","Provider","K02000001","United Kingdom",10037449,"University of St Mark and St John","Low","201.28"
200809,"Academic year","Provider","K02000001","United Kingdom",10014001,"University of Suffolk","Low","208.65"
200809,"Academic year","Provider","K02000001","United Kingdom",10007162,"University of the Arts, London","Medium","244"
200809,"Academic year","Provider","K02000001","United Kingdom",10007114,"University of the Highlands and Islands","c","c"
200809,"Academic year","Provider","K02000001","United Kingdom",10007164,"University of the West of England, Bristol","Low","230.21"
200809,"Academic year","Provider","K02000001","United Kingdom",10007858,"University of Wales Trinity Saint David","Low","221.11"
200809,"Academic year","Provider","K02000001","United Kingdom",10007139,"University of Worcester","Low","224.96"
200809,"Academic year","Provider","K02000001","United Kingdom",10007657,"Writtle University College","Low","201.18"
200809,"Academic year","Provider","K02000001","United Kingdom",10007713,"York St John University","Medium","234.21"
200910,"Academic year","Provider","K02000001","United Kingdom",10007856,"Aberystwyth University","Medium","250.77"
200910,"Academic year","Provider","K02000001","United Kingdom",10000291,"Anglia Ruskin University","Low","215.67"
200910,"Academic year","Provider","K02000001","United Kingdom",10007759,"Aston University","Medium","299.11"
200910,"Academic year","Provider","K02000001","United Kingdom",10007857,"Bangor University","Medium","242.09"
200910,"Academic year","Provider","K02000001","United Kingdom",10000571,"Bath Spa University","Medium","253.34"
200910,"Academic year","Provider","K02000001","United Kingdom",10007140,"Birmingham City University","Low","226.71"
200910,"Academic year","Provider","K02000001","United Kingdom",10007811,"Bishop Grosseteste University","Low","227.65"
200910,"Academic year","Provider","K02000001","United Kingdom",10000824,"Bournemouth University","Medium","243.78"
200910,"Academic year","Provider","K02000001","United Kingdom",10000961,"Brunel University London","Medium","277.16"
200910,"Academic year","Provider","K02000001","United Kingdom",10000975,"Buckinghamshire New University","Low","190.55"
200910,"Academic year","Provider","K02000001","United Kingdom",10001143,"Canterbury Christ Church University","Low","214.28"
200910,"Academic year","Provider","K02000001","United Kingdom",10007854,"Cardiff Metropolitan University","Low","226.72"
200910,"Academic year","Provider","K02000001","United Kingdom",10007814,"Cardiff University","High","323.9"
200910,"Academic year","Provider","K02000001","United Kingdom",10001478,"City, University of London","Medium","284.77"
200910,"Academic year","Provider","K02000001","United Kingdom",10007761,"Courtauld Institute of Art","High","342.76"
200910,"Academic year","Provider","K02000001","United Kingdom",10001726,"Coventry University","Medium","239.86"
200910,"Academic year","Provider","K02000001","United Kingdom",10001883,"De Montfort University","Low","216.89"
200910,"Academic year","Provider","K02000001","United Kingdom",10007823,"Edge Hill University","Low","222.93"
200910,"Academic year","Provider","K02000001","United Kingdom",10007824,"Edinburgh College of Art","High","309.12"
200910,"Academic year","Provider","K02000001","United Kingdom",10007772,"Edinburgh Napier University","Medium","261.48"
200910,"Academic year","Provider","K02000001","United Kingdom",10008640,"Falmouth University","Medium","246.64"
200910,"Academic year","Provider","K02000001","United Kingdom",10007762,"Glasgow Caledonian University","Medium","265.2"
200910,"Academic year","Provider","K02000001","United Kingdom",10002681,"Glasgow School of Art","High","309.62"
200910,"Academic year","Provider","K02000001","United Kingdom",10007833,"Glynd?r University","Low","203.85"
200910,"Academic year","Provider","K02000001","United Kingdom",10002718,"Goldsmiths College","Medium","269.98"
200910,"Academic year","Provider","K02000001","United Kingdom",10040812,"Harper Adams University","Low","228.15"
200910,"Academic year","Provider","K02000001","United Kingdom",10007764,"Heriot-Watt University","Medium","279.24"
200910,"Academic year","Provider","K02000001","United Kingdom",10007765,"Heythrop College","Medium","266.25"
200910,"Academic year","Provider","K02000001","United Kingdom",10003270,"Imperial College of Science, Technology and Medicine","High","356.74"
200910,"Academic year","Provider","K02000001","United Kingdom",10007767,"Keele University","Medium","252.54"
200910,"Academic year","Provider","K02000001","United Kingdom",10003645,"King's College London","High","331.4"
200910,"Academic year","Provider","K02000001","United Kingdom",10003678,"Kingston University","Low","207.83"
200910,"Academic year","Provider","K02000001","United Kingdom",10003861,"Leeds Beckett University","Low","226.12"
200910,"Academic year","Provider","K02000001","United Kingdom",10003856,"Leeds College of Music","Medium","260.8"
200910,"Academic year","Provider","K02000001","United Kingdom",10003863,"Leeds Trinity University","Low","216.95"
200910,"Academic year","Provider","K02000001","United Kingdom",10003956,"Liverpool Hope University","Medium","247.23"
200910,"Academic year","Provider","K02000001","United Kingdom",10003957,"Liverpool John Moores University","Low","226.49"
200910,"Academic year","Provider","K02000001","United Kingdom",10004048,"London Metropolitan University","Low","192.98"
200910,"Academic year","Provider","K02000001","United Kingdom",10004063,"London School of Economics and Political Science","High","351.01"
200910,"Academic year","Provider","K02000001","United Kingdom",10004078,"London South Bank University","Low","177.19"
200910,"Academic year","Provider","K02000001","United Kingdom",10004113,"Loughborough University","High","309.96"
200910,"Academic year","Provider","K02000001","United Kingdom",10004351,"Middlesex University","c","c"
200910,"Academic year","Provider","K02000001","United Kingdom",10007799,"Newcastle University","High","320.55"
200910,"Academic year","Provider","K02000001","United Kingdom",10007832,"Newman University","Low","214.1"
200910,"Academic year","Provider","K02000001","United Kingdom",10004775,"Norwich University of the Arts","Low","228.14"
200910,"Academic year","Provider","K02000001","United Kingdom",10004930,"Oxford Brookes University","Medium","266.7"
200910,"Academic year","Provider","K02000001","United Kingdom",10005337,"Queen Margaret University, Edinburgh","Medium","265.78"
200910,"Academic year","Provider","K02000001","United Kingdom",10007775,"Queen Mary University of London","Medium","306.6"
200910,"Academic year","Provider","K02000001","United Kingdom",10005343,"Queen's University Belfast","High","315.56"
200910,"Academic year","Provider","K02000001","United Kingdom",10005389,"Ravensbourne University London","Low","220.31"
200910,"Academic year","Provider","K02000001","United Kingdom",10007776,"Roehampton University","Low","229.76"
200910,"Academic year","Provider","K02000001","United Kingdom",10005523,"Rose Bruford College of Theatre and Performance","Low","230.43"
200910,"Academic year","Provider","K02000001","United Kingdom",10005545,"Royal Agricultural University","Medium","241.05"
200910,"Academic year","Provider","K02000001","United Kingdom",10007778,"Royal College of Music","Medium","296.64"
200910,"Academic year","Provider","K02000001","United Kingdom",10005561,"Royal Conservatoire of Scotland","Medium","286.19"
200910,"Academic year","Provider","K02000001","United Kingdom",10005553,"Royal Holloway and Bedford New College","Medium","303.62"
200910,"Academic year","Provider","K02000001","United Kingdom",10007837,"Royal Northern College of Music","Medium","281.41"
200910,"Academic year","Provider","K02000001","United Kingdom",10005790,"Sheffield Hallam University","Medium","240.88"
200910,"Academic year","Provider","K02000001","United Kingdom",10007780,"SOAS University of London","High","324.47"
200910,"Academic year","Provider","K02000001","United Kingdom",10006022,"Solent University","Low","223.66"
200910,"Academic year","Provider","K02000001","United Kingdom",10005700,"SRUC","Low","195.4"
